Experiment,Bar,L,delta_frame,avg_rho,std_rho,amplitude,pgroup,auto_classified
20240311,1,160.0,160,0.29886363636363644,0.11694611848239846,0.4,3,True
20240311,2,120.0,160,0.3666666666666667,0.22885309124793873,0.5909090909090908,2,True
20240311,3,200.0,160,0.34090909090909094,0.2719002612468691,0.7818181818181819,1,False
20240311,4,160.0,160,0.3306818181818182,0.24887920250196988,0.7636363636363636,2,True
20240311,5,160.0,160,0.2931818181818182,0.18248457423768932,0.6909090909090908,0,False
20240311,6,120.0,160,0.4265151515151515,0.21788042103320146,0.7363636363636364,1,False
20240311,7,160.0,160,0.29204545454545455,0.21851005139806146,0.6272727272727272,1,False
20240311,8,200.0,160,0.22727272727272735,0.19012827335927324,0.5454545454545455,2,False
20240311,9,200.0,160,0.27272727272727276,0.14287485132274286,0.5181818181818183,4,False
20240311,10,200.0,160,0.3072727272727273,0.1604384488449343,0.5272727272727273,0,False
20240311,11,200.0,160,0.15272727272727277,0.14242875557001525,0.5272727272727273,0,True
20240311,12,200.0,160,0.42590909090909107,0.20679120703208134,0.6909090909090909,3,False
20240311,13,160.0,160,0.3301136363636364,0.21629675126417874,0.7181818181818181,2,False
20240311,14,160.0,160,0.20284090909090913,0.15774491485039074,0.5636363636363637,2,True
20240311,15,160.0,160,0.1369318181818182,0.1021195190827197,0.4090909090909091,0,True
20240317,1,200.0,160,0.3650000000000001,0.3207851292899247,0.8636363636363635,1,True
20240317,2,200.0,160,0.5277272727272727,0.24004949558492827,0.8545454545454545,2,True
20240317,3,200.0,160,0.4586363636363636,0.20428215376558823,0.7636363636363637,2,False
20240317,4,200.0,160,0.43045454545454553,0.3494656487688332,0.9454545454545455,1,False
20240317,5,120.0,160,0.25606060606060604,0.2804176669759767,0.7636363636363637,1,True
20240317,6,120.0,160,0.3378787878787879,0.22028135444195954,0.7181818181818184,1,True
20240317,7,120.0,160,0.2401515151515152,0.19031141411758343,0.6818181818181819,2,False
20240317,8,160.0,160,0.32840909090909093,0.25872931306293173,0.7818181818181819,2,True
20240317,9,200.0,160,0.49454545454545445,0.23297217228212305,0.8090909090909091,2,True
20240317,10,200.0,160,0.46772727272727277,0.3325766549307974,0.9454545454545455,2,True
20240317,11,200.0,160,0.24454545454545454,0.17009720118579164,0.6090909090909091,3,False
20240317,12,200.0,160,0.26318181818181824,0.2159827625506449,0.6909090909090908,3,False
20240317,13,160.0,160,0.26590909090909093,0.24990700749817765,0.8272727272727274,2,True
20240317,14,120.0,160,0.16212121212121214,0.15841124659779846,0.43636363636363645,0,True
20240317,15,120.0,160,0.24318181818181825,0.21909923912241694,0.5636363636363636,1,True
20240317,16,160.0,160,0.4244318181818182,0.405727572540781,0.9545454545454546,1,True
20240317,17,120.0,160,0.33712121212121215,0.2566057940051005,0.6909090909090909,1,True
20240317,18,160.0,160,0.39375000000000004,0.2515801046789033,0.7818181818181819,1,False
20240317,19,120.0,160,0.30833333333333335,0.253636318380938,0.7272727272727271,1,True
20240317,20,120.0,160,0.4128787878787879,0.2812177948095373,0.8181818181818182,1,True
20240317,21,160.0,160,0.22500000000000003,0.1804064511133285,0.5909090909090909,2,True
20240317,22,200.0,160,0.4540909090909091,0.22527256218351863,0.790909090909091,1,False
20240317,23,200.0,160,0.29909090909090913,0.22109606752355448,0.7636363636363637,3,True
20240317,24,200.0,160,0.42727272727272725,0.19200981379877777,0.7909090909090909,1,True
20240317,25,200.0,160,0.32772727272727276,0.23224515047112473,0.6909090909090909,2,True
20240317,26,200.0,160,0.37363636363636366,0.24405154583569716,0.6545454545454547,1,True
20240317,27,200.0,160,0.4827272727272728,0.21329566644053988,0.8090909090909092,3,False
20240317,28,200.0,160,0.1904545454545455,0.16187116088813577,0.5818181818181819,0,True
20240317,29,160.0,160,0.2596590909090909,0.25454482041317117,0.7363636363636364,1,True
20240317,30,160.0,160,0.4011363636363637,0.2470251727059678,0.7454545454545454,1,True
20240317,31,160.0,160,0.29147727272727275,0.25921983933199594,0.6727272727272728,2,True
20240320,1,120.0,160,0.6257575757575758,0.31236751094126886,1.090909090909091,1,False
20240320,2,120.0,160,0.36515151515151506,0.31097539017839076,0.8,1,True
20240320,3,160.0,160,0.33522727272727276,0.2542180321126723,0.7272727272727273,1,False
20240320,4,120.0,160,0.24696969696969706,0.13761212975344897,0.4272727272727273,2,True
20240320,5,160.0,160,0.6420454545454546,0.3801760548017564,1.2181818181818183,1,False
20240320,6,120.0,160,0.28257575757575754,0.2199254298029513,0.7636363636363636,1,True
20240320,7,120.0,160,0.0825757575757576,0.09333566998255677,0.27272727272727276,0,True
20240320,8,200.0,160,0.1381818181818182,0.1736482623243448,0.5818181818181818,0,True
20240320,9,200.0,160,0.2727272727272727,0.21368471406442105,0.7909090909090908,3,False
20240320,10,200.0,160,0.1431818181818182,0.20791914750889695,0.709090909090909,0,True
20240320,11,200.0,160,0.37545454545454543,0.3777062131751004,1.0090909090909093,2,True
20240320,12,200.0,160,0.26136363636363635,0.2769502595792099,0.7818181818181817,2,True
20240320,13,160.0,160,0.7284090909090909,0.3308496918466773,1.1636363636363638,1,False
20240320,14,160.0,160,0.28352272727272726,0.26369941937932234,0.8090909090909091,1,True
20240320,15,160.0,160,0.3801136363636364,0.19274599903662878,0.6909090909090909,2,True
20240320,16,120.0,160,0.4431818181818182,0.3640740736848431,0.9818181818181818,1,False
20240320,17,120.0,160,0.35454545454545466,0.1784151224612561,0.5363636363636363,0,False
20240320,18,120.0,160,0.36515151515151517,0.2752617920782779,0.7000000000000001,1,False
20240320,19,120.0,160,0.5075757575757576,0.38015208884336577,1.0545454545454547,2,True
20240320,20,120.0,160,0.18712121212121213,0.14754456455851628,0.48181818181818187,0,True
20240320,21,160.0,160,0.6130681818181818,0.4228368473577854,1.209090909090909,2,True
20240320,22,200.0,160,0.3218181818181819,0.23085181823730794,0.7999999999999998,2,True
20240320,23,200.0,160,0.415909090909091,0.2040676236969557,0.6363636363636365,3,True
20240320,24,200.0,160,0.36318181818181816,0.2572498383650473,0.7727272727272727,3,False
20240320,25,200.0,160,0.35181818181818175,0.3049332673236247,0.8636363636363636,2,True
20240320,26,200.0,160,0.1563636363636364,0.2421085065123071,0.6727272727272727,0,True
20240320,27,160.0,160,0.49034090909090916,0.34251845504359985,1.0363636363636364,2,True
20240320,28,160.0,160,0.36988636363636374,0.09800271700989885,0.42727272727272736,0,False
20240320,29,120.0,160,0.29090909090909095,0.25559847126380997,0.6363636363636365,1,True
20240320,30,120.0,160,0.07878787878787878,0.08150895549280465,0.26363636363636367,0,True
20240320,31,160.0,160,0.14829545454545456,0.20644868967116786,0.5636363636363637,0,True
20240320,32,160.0,160,0.2676136363636364,0.2377139912420626,0.7272727272727273,1,True
20240320,33,120.0,160,0.35606060606060613,0.21020235997623243,0.6363636363636364,2,True
20240320,34,120.0,160,0.7621212121212121,0.18622808571258162,0.6363636363636365,0,False
20240320,35,120.0,160,0.09469696969696971,0.09982480061219028,0.30000000000000004,0,True
20240320,36,200.0,160,0.2190909090909091,0.16218803493996084,0.5818181818181819,2,False
20240320,37,200.0,160,0.30363636363636365,0.23350367650670678,0.7454545454545454,2,False
20240320,38,200.0,160,0.22181818181818183,0.2593443736274828,0.8636363636363635,2,True
20240320,39,200.0,160,0.20727272727272733,0.17956789272911114,0.47272727272727283,1,False
20240320,40,200.0,160,0.17272727272727276,0.16436705547529845,0.5454545454545455,0,True
20240320,41,160.0,160,0.08181818181818183,0.0770719316264235,0.23636363636363641,0,True
20240320,42,160.0,160,0.3335227272727273,0.25020072004276356,0.7272727272727273,2,True
20240320,43,120.0,160,0.3000000000000001,0.12759698952380183,0.4363636363636364,2,True
20240320,44,160.0,160,0.1465909090909091,0.15623656967073793,0.5090909090909091,0,True
20240320,45,120.0,160,0.29545454545454547,0.18724845385496344,0.6,2,False
20240320,46,160.0,160,0.026136363636363638,0.034448878161873,0.1272727272727273,0,True
20240320,47,120.0,160,0.36590909090909096,0.25603258767276715,0.7545454545454545,2,False
20240320,48,120.0,160,0.06666666666666667,0.06247129735784335,0.20000000000000004,0,True
20240320,49,120.0,160,0.07121212121212121,0.06404988299347956,0.18181818181818185,0,True
20240320,50,200.0,160,0.12772727272727274,0.10533202129810196,0.3454545454545455,0,True
20240320,51,200.0,160,0.34272727272727277,0.2827272727272727,0.8727272727272726,2,True
20240320,52,200.0,160,0.0990909090909091,0.14525270086107872,0.40909090909090917,0,True
20240320,53,200.0,160,0.09818181818181819,0.10101141413287891,0.3454545454545455,0,True
20240320,54,200.0,160,0.09636363636363637,0.09656924890828729,0.30909090909090914,0,True
20240320,55,160.0,160,0.1857954545454546,0.16073722042179786,0.5545454545454547,0,True
20240320,56,160.0,160,0.07897727272727274,0.062217854888626224,0.20909090909090913,0,True
20240404,1,200.0,160,0.12045454545454548,0.05690901829794962,0.19090909090909094,0,True
20240404,2,200.0,160,0.1163636363636364,0.06328474285075315,0.2363636363636364,0,True
20240404,3,200.0,160,0.1722727272727273,0.10010222048213789,0.3818181818181819,0,True
20240404,4,200.0,160,0.25909090909090904,0.2559781111509923,0.7454545454545454,3,False
20240404,5,200.0,160,0.18590909090909094,0.1048207836939549,0.40909090909090917,0,True
20240404,6,200.0,160,0.2872727272727273,0.18605073510485748,0.6818181818181818,1,True
20240404,7,160.0,160,0.18295454545454548,0.09801095190954366,0.3727272727272728,0,True
20240404,8,160.0,160,0.24147727272727276,0.12043176242514451,0.42727272727272736,3,True
20240404,9,160.0,160,0.1835227272727273,0.09632818548162227,0.3363636363636364,0,True
20240404,10,120.0,160,0.24242424242424251,0.10662189142884355,0.4000000000000001,3,True
20240404,11,160.0,160,0.18295454545454548,0.17254401163301272,0.5636363636363637,0,True
20240404,12,120.0,160,0.343939393939394,0.21646525921754176,0.7,1,True
20240404,13,200.0,160,0.2236363636363637,0.08626309937655607,0.2909090909090909,2,True
20240404,14,200.0,160,0.21090909090909093,0.12460184522995935,0.42727272727272736,1,True
20240404,15,200.0,160,0.1913636363636364,0.10685105877028352,0.3636363636363637,0,True
20240404,16,200.0,160,0.18000000000000002,0.08835503138049319,0.3727272727272728,0,True
20240404,17,200.0,160,0.32727272727272727,0.18344724735461002,0.6545454545454545,3,False
20240404,18,160.0,160,0.1375,0.12335173621172214,0.4000000000000001,0,True
20240404,19,160.0,160,0.23806818181818187,0.15782675504311056,0.4818181818181818,1,True
20240404,20,160.0,160,0.12840909090909092,0.08405250966012431,0.2545454545454546,0,True
20240404,21,120.0,160,0.09545454545454546,0.05523553373805511,0.17272727272727276,0,True
20240404,22,160.0,160,0.12840909090909092,0.10289582913263572,0.27272727272727276,0,True
20240404,23,120.0,160,0.10606060606060606,0.06663222250695765,0.24545454545454548,0,True
20240404,24,120.0,160,0.16136363636363638,0.08545172464718934,0.28181818181818186,0,True
20240404,25,120.0,160,0.14772727272727276,0.05727092349251889,0.23636363636363641,0,True
20240404,26,160.0,160,0.2267045454545455,0.09099250434572861,0.4000000000000001,2,True
20240404,27,120.0,160,0.20833333333333337,0.16690582015236805,0.490909090909091,2,True
20240430,1,320.0,160,0.1309659090909091,0.0656680299698717,0.27272727272727276,0,True
20240430,2,320.0,160,0.4784090909090909,0.31169317332517993,1.2090909090909092,1,True
20240430,3,320.0,160,0.12869318181818185,0.075244414930982,0.30909090909090914,0,True
20240430,4,240.0,160,0.16931818181818184,0.08482734449843193,0.3272727272727273,0,True
20240430,5,240.0,160,0.15151515151515152,0.07748041015482181,0.2545454545454546,0,True
20240430,6,240.0,160,0.11780303030303034,0.07648795646329043,0.27272727272727276,0,True
20240430,8,200.0,160,0.10681818181818184,0.07157467348369478,0.2545454545454546,0,True
20240430,9,200.0,160,0.28590909090909095,0.14702209312810305,0.5181818181818183,0,False
20240430,11,200.0,160,0.08227272727272729,0.06353726049393679,0.20909090909090913,0,True
20240430,13,200.0,160,0.07454545454545455,0.07015920502390814,0.21818181818181823,0,True
20240430,14,160.0,160,0.16647727272727275,0.08980688360574154,0.30000000000000004,0,True
20240430,15,80.0,160,0.06363636363636364,0.06818181818181819,0.20000000000000004,0,True
20240430,16,80.0,160,0.0715909090909091,0.04645212144538568,0.14545454545454548,0,True
20240430,17,160.0,160,0.11761363636363638,0.0676852180292671,0.27272727272727276,0,True
20240430,18,80.0,160,0.20454545454545459,0.08918825850158449,0.28181818181818186,3,True
20240430,19,160.0,160,0.09431818181818183,0.06256195276591275,0.22727272727272732,0,True
20240430,20,160.0,160,0.08977272727272728,0.07726437120595261,0.2545454545454546,0,True
20240430,21,120.0,160,0.28030303030303033,0.22384793310046822,0.7272727272727273,1,False
20240430,23,120.0,160,0.11818181818181818,0.07749522334875408,0.21818181818181823,0,True
20240430,28,120.0,160,0.11060606060606061,0.08429200633758259,0.2545454545454546,0,True
20240430,29,120.0,160,0.09545454545454546,0.053846532254293526,0.18181818181818185,0,True
20240430,31,320.0,160,0.23210227272727277,0.15676850950795926,0.5272727272727273,3,False
20240430,32,240.0,160,0.15568181818181823,0.08055901879766085,0.28181818181818186,0,True
20240430,33,240.0,160,0.16439393939393943,0.12920387360681024,0.42727272727272736,0,True
20240430,34,240.0,160,0.1625,0.06003399519032861,0.24545454545454548,0,True
20240430,35,200.0,160,0.17000000000000004,0.08963193793241706,0.3636363636363637,0,True
20240430,37,200.0,160,0.15909090909090912,0.15439832568783451,0.5090909090909091,0,True
20240430,39,200.0,160,0.12227272727272727,0.06386161433227294,0.24545454545454548,0,True
20240430,40,200.0,160,0.37681818181818183,0.1721635537975397,0.5909090909090908,3,False
20240430,42,80.0,160,0.3261363636363636,0.20053840237332668,0.5818181818181818,1,False
20240430,43,80.0,160,0.31363636363636366,0.20650575802910087,0.6363636363636364,2,True
20240430,44,160.0,160,0.3585227272727273,0.23981244285468983,0.790909090909091,2,True
20240430,45,80.0,160,0.15113636363636365,0.06164707268190384,0.20909090909090913,0,True
20240430,46,160.0,160,0.11988636363636367,0.06954833253106246,0.27272727272727276,0,True
20240430,49,120.0,160,0.26212121212121214,0.20472494930235133,0.7272727272727273,2,True
20240430,53,240.0,160,0.12840909090909094,0.09876344627218732,0.3454545454545455,0,True
20240430,55,200.0,160,0.11272727272727275,0.08549322142188182,0.26363636363636367,0,True
20240430,57,200.0,160,0.12545454545454546,0.07532848176678764,0.24545454545454548,0,True
20240430,59,80.0,160,0.7284090909090909,0.26279007978433633,0.8727272727272726,2,True
20240430,60,160.0,160,0.2551136363636364,0.1790836624629869,0.6545454545454547,2,True
20240430,61,80.0,160,0.24772727272727277,0.1981187347472501,0.6181818181818183,2,True
20240430,62,160.0,160,0.2204545454545455,0.10038664920617174,0.3363636363636364,0,False
20240430,63,80.0,160,0.34204545454545454,0.24388968767060673,0.6363636363636362,1,True
20240503,1,80.0,160,0.020454545454545454,0.020705530861691593,0.05454545454545455,0,True
20240503,2,160.0,160,0.24715909090909094,0.17727910099264474,0.5454545454545454,2,True
20240503,3,80.0,160,0.08636363636363638,0.054355730650460905,0.13636363636363638,0,True
20240503,4,160.0,160,0.19261363636363638,0.19075260767473337,0.5272727272727273,0,True
20240503,6,200.0,160,0.12045454545454545,0.08822749519900762,0.31818181818181823,0,True
20240503,8,200.0,160,0.19863636363636367,0.13859611934509805,0.47272727272727283,0,True
20240503,9,240.0,160,0.11439393939393942,0.08567977518128059,0.3272727272727273,0,True
20240503,10,320.0,160,0.1960227272727273,0.10501223610325114,0.42727272727272736,0,True
20240503,12,320.0,160,0.3582386363636364,0.21188668633511254,0.8545454545454546,2,True
20240503,13,120.0,160,0.35681818181818176,0.22670003603018712,0.6181818181818182,1,False
20240503,14,120.0,160,0.193939393939394,0.12922386097103272,0.44545454545454544,0,True
20240503,15,80.0,160,0.07840909090909091,0.07672769011088544,0.20909090909090913,0,True
20240503,16,160.0,160,0.06931818181818183,0.045440338688936835,0.1272727272727273,0,True
20240503,19,200.0,160,0.29409090909090907,0.23118943254181898,0.6545454545454544,1,False
20240503,20,240.0,160,0.1037878787878788,0.0810110298694828,0.29090909090909095,0,True
20240503,21,320.0,160,0.11107954545454549,0.08318723203320993,0.27272727272727276,0,True
20240503,22,120.0,160,0.21515151515151512,0.12943686747983968,0.40909090909090917,0,False
20240503,23,120.0,160,0.3272727272727273,0.20553632054544738,0.6818181818181819,2,True
20240503,24,120.0,160,0.12424242424242427,0.10400607455594253,0.29090909090909095,0,True
20240503,25,80.0,160,0.05340909090909092,0.04711457373097246,0.1272727272727273,0,True
20240503,26,160.0,160,0.15284090909090914,0.07972180127903256,0.3363636363636364,0,True
20240503,28,200.0,160,0.21136363636363636,0.10479712790209915,0.43636363636363645,2,True
20240503,29,320.0,160,0.2713068181818182,0.24964964473998685,0.8181818181818181,3,False
20240517,3,320.0,160,0.42500000000000004,0.22742040656527293,0.881818181818182,3,False
20240517,5,200.0,160,0.3295454545454545,0.32819157628403817,0.9727272727272727,2,False
20240517,6,200.0,160,0.4609090909090908,0.3242550266596489,0.9090909090909091,1,False
20240517,7,320.0,160,0.16505681818181822,0.20045286248262795,0.6727272727272727,0,True
20240517,8,320.0,160,0.43664772727272727,0.3232029494993551,1.1454545454545457,3,False
20240521,1,100.0,160,0.04363636363636364,0.052033047350015224,0.1272727272727273,0,True
20240521,2,120.0,160,0.4598484848484849,0.2597534944319424,0.6818181818181819,1,False
20240521,3,100.0,160,0.8345454545454546,0.2421597041500703,0.7727272727272725,2,True
20240521,4,120.0,160,0.3659090909090909,0.24323137416338886,0.7272727272727273,2,True
20240521,5,100.0,160,0.6927272727272727,0.3358915606201915,1.0727272727272728,1,False
20240521,6,120.0,160,0.1325757575757576,0.09752151230737807,0.27272727272727276,0,True
20240521,7,80.0,160,0.06704545454545456,0.0634636454792873,0.20000000000000004,0,True
20240521,8,80.0,160,0.1579545454545455,0.08429796376078652,0.22727272727272732,0,True
20240521,9,160.0,160,0.2806818181818182,0.19534550340993095,0.5727272727272726,1,False
20240521,10,160.0,160,0.2204545454545455,0.1302215213706981,0.41818181818181827,2,True
20240521,11,80.0,160,0.06704545454545455,0.0687758215971546,0.17272727272727276,0,True
20240521,12,160.0,160,0.08863636363636365,0.10530848034730089,0.3727272727272728,0,True
20240521,14,200.0,160,0.24227272727272728,0.23095695638468947,0.6727272727272728,2,True
20240521,16,200.0,160,0.20954545454545453,0.19407494079511686,0.6454545454545455,2,True
20240521,18,200.0,160,0.07818181818181819,0.061078461935421186,0.2181818181818182,0,True
20240521,19,320.0,160,0.10227272727272729,0.1268051475869393,0.4090909090909091,0,True
20240521,20,320.0,160,0.278409090909091,0.15382099583714373,0.5727272727272728,2,True
20240521,21,320.0,160,0.027556818181818186,0.03312919044132411,0.14545454545454548,0,True
20240521,22,100.0,160,0.39000000000000007,0.22553700837946827,0.8272727272727274,2,False
20240521,23,120.0,160,0.2863636363636364,0.29823863095135,0.9,2,True
20240521,24,100.0,160,0.2645454545454546,0.20560131523520536,0.5818181818181819,2,True
20240521,25,120.0,160,0.22121212121212122,0.14001836426845968,0.4545454545454546,2,True
20240521,26,100.0,160,0.06272727272727274,0.07772062704178728,0.23636363636363641,0,True
20240521,27,120.0,160,0.002272727272727273,0.003936479108111085,0.009090909090909092,0,True
20240521,28,80.0,160,0.22045454545454551,0.1546623889168099,0.47272727272727283,2,True
20240521,29,160.0,160,0.39602272727272725,0.2822022447137648,0.7909090909090911,2,True
20240521,30,80.0,160,0.06818181818181819,0.04065578140908709,0.1181818181818182,0,True
20240521,31,160.0,160,0.04886363636363637,0.06870067727359928,0.24545454545454548,0,True
20240521,33,200.0,160,0.24954545454545451,0.16410224085778186,0.6181818181818182,1,False
20240521,35,200.0,160,0.048181818181818194,0.03963678064834845,0.13636363636363638,0,True
20240521,36,320.0,160,0.17500000000000002,0.16094696523959287,0.5545454545454546,0,True
20240521,37,320.0,160,0.03636363636363637,0.04613132529587373,0.13636363636363638,0,True
20240521,38,100.0,160,0.19363636363636366,0.15417334882398875,0.44545454545454555,0,True
20240521,39,120.0,160,0.14318181818181822,0.0860940769312537,0.28181818181818186,0,True
20240521,40,120.0,160,0.01666666666666667,0.02428972657860818,0.08181818181818183,0,True
20240521,41,80.0,160,0.2022727272727273,0.15678524028188348,0.45454545454545464,2,True
20240521,42,80.0,160,0.14431818181818185,0.12149528950498793,0.3818181818181819,0,True
