,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
9100,20.0,5.569230769230769,1.0,0.4,1551.5516,170.1702
9101,20.0,5.569230769230769,1.0,0.4,540.5405,0.0
9102,20.0,5.569230769230769,1.0,0.4,4619.6196,3233.2332
9103,20.0,5.569230769230769,1.0,0.4,480.4805,0.0
9104,20.0,5.569230769230769,1.0,0.4,480.4805,0.0
9105,20.0,5.569230769230769,1.0,0.4,3438.4384,2647.6476
9106,20.0,5.569230769230769,1.0,0.4,165.1652,0.0
9107,20.0,5.569230769230769,1.0,0.4,1271.2713,485.4855
9108,20.0,5.569230769230769,1.0,0.4,600.6006,0.0
9109,20.0,5.569230769230769,1.0,0.4,3728.7287,2347.3473
9110,20.0,5.569230769230769,1.0,0.4,240.2402,0.0
9111,20.0,5.569230769230769,1.0,0.4,,
9112,20.0,5.569230769230769,1.0,0.4,520.5205,0.0
9113,20.0,5.569230769230769,1.0,0.4,1406.4064,30.03
9114,20.0,5.569230769230769,1.0,0.4,180.1802,0.0
9115,20.0,5.569230769230769,1.0,0.4,,
9116,20.0,5.569230769230769,1.0,0.4,4394.3944,3008.008
9117,20.0,5.569230769230769,1.0,0.4,4694.6947,3298.2983
9118,20.0,5.569230769230769,1.0,0.4,500.5005,0.0
9119,20.0,5.569230769230769,1.0,0.4,,4019.019
9120,20.0,5.569230769230769,1.0,0.4,3108.1081,1721.7217
9121,20.0,5.569230769230769,1.0,0.4,1376.3764,5.005
9122,20.0,5.569230769230769,1.0,0.4,645.6456,0.0
9123,20.0,5.569230769230769,1.0,0.4,1336.3363,0.0
9124,20.0,5.569230769230769,1.0,0.4,775.7758,0.0
9125,20.0,5.569230769230769,1.0,0.4,1251.2513,460.4605
9126,20.0,5.569230769230769,1.0,0.4,825.8258,40.04
9127,20.0,5.569230769230769,1.0,0.4,3013.013,1631.6316
9128,20.0,5.569230769230769,1.0,0.4,185.1852,0.0
9129,20.0,5.569230769230769,1.0,0.4,575.5756,0.0
9130,20.0,5.569230769230769,1.0,0.4,1181.1812,395.3954
9131,20.0,5.569230769230769,1.0,0.4,2567.5676,1191.1912
9132,20.0,5.569230769230769,1.0,0.4,750.7508,0.0
9133,20.0,5.569230769230769,1.0,0.4,615.6156,0.0
9134,20.0,5.569230769230769,1.0,0.4,,4009.009
9135,20.0,5.569230769230769,1.0,0.4,870.8709,0.0
9136,20.0,5.569230769230769,1.0,0.4,4309.3093,2927.9279
9137,20.0,5.569230769230769,1.0,0.4,1111.1111,320.3203
9138,20.0,5.569230769230769,1.0,0.4,,
9139,20.0,5.569230769230769,1.0,0.4,95.0951,0.0
9140,20.0,5.569230769230769,1.0,0.4,120.1201,0.0
9141,20.0,5.569230769230769,1.0,0.4,840.8408,55.0551
9142,20.0,5.569230769230769,1.0,0.4,,
9143,20.0,5.569230769230769,1.0,0.4,420.4204,0.0
9144,20.0,5.569230769230769,1.0,0.4,415.4154,0.0
9145,20.0,5.569230769230769,1.0,0.4,540.5405,0.0
9146,20.0,5.569230769230769,1.0,0.4,560.5606,0.0
9147,20.0,5.569230769230769,1.0,0.4,735.7357,0.0
9148,20.0,5.569230769230769,1.0,0.4,445.4454,0.0
9149,20.0,5.569230769230769,1.0,0.4,170.1702,0.0
9150,20.0,5.569230769230769,1.0,0.4,850.8509,0.0
9151,20.0,5.569230769230769,1.0,0.4,280.2803,0.0
9152,20.0,5.569230769230769,1.0,0.4,240.2402,0.0
9153,20.0,5.569230769230769,1.0,0.4,190.1902,0.0
9154,20.0,5.569230769230769,1.0,0.4,1371.3714,10.01
9155,20.0,5.569230769230769,1.0,0.4,1216.2162,430.4304
9156,20.0,5.569230769230769,1.0,0.4,1646.6466,270.2703
9157,20.0,5.569230769230769,1.0,0.4,195.1952,0.0
9158,20.0,5.569230769230769,1.0,0.4,4329.3293,2927.9279
9159,20.0,5.569230769230769,1.0,0.4,715.7157,0.0
9160,20.0,5.569230769230769,1.0,0.4,1476.4765,100.1001
9161,20.0,5.569230769230769,1.0,0.4,1226.2262,435.4354
9162,20.0,5.569230769230769,1.0,0.4,385.3854,0.0
9163,20.0,5.569230769230769,1.0,0.4,465.4655,0.0
9164,20.0,5.569230769230769,1.0,0.4,,
9165,20.0,5.569230769230769,1.0,0.4,,
9166,20.0,5.569230769230769,1.0,0.4,460.4605,0.0
9167,20.0,5.569230769230769,1.0,0.4,600.6006,0.0
9168,20.0,5.569230769230769,1.0,0.4,2067.0671,685.6857
9169,20.0,5.569230769230769,1.0,0.4,,
9170,20.0,5.569230769230769,1.0,0.4,3888.8889,2522.5225
9171,20.0,5.569230769230769,1.0,0.4,960.961,175.1752
9172,20.0,5.569230769230769,1.0,0.4,985.986,200.2002
9173,20.0,5.569230769230769,1.0,0.4,1296.2963,510.5105
9174,20.0,5.569230769230769,1.0,0.4,500.5005,0.0
9175,20.0,5.569230769230769,1.0,0.4,2562.5626,1771.7718
9176,20.0,5.569230769230769,1.0,0.4,1146.1461,355.3554
9177,20.0,5.569230769230769,1.0,0.4,380.3804,0.0
9178,20.0,5.569230769230769,1.0,0.4,2542.5425,1751.7518
9179,20.0,5.569230769230769,1.0,0.4,90.0901,0.0
9180,20.0,5.569230769230769,1.0,0.4,4004.004,2612.6126
9181,20.0,5.569230769230769,1.0,0.4,2222.2222,820.8208
9182,20.0,5.569230769230769,1.0,0.4,1596.5966,810.8108
9183,20.0,5.569230769230769,1.0,0.4,,3918.9189
9184,20.0,5.569230769230769,1.0,0.4,630.6306,0.0
9185,20.0,5.569230769230769,1.0,0.4,740.7407,0.0
9186,20.0,5.569230769230769,1.0,0.4,,
9187,20.0,5.569230769230769,1.0,0.4,,
9188,20.0,5.569230769230769,1.0,0.4,300.3003,0.0
9189,20.0,5.569230769230769,1.0,0.4,725.7257,0.0
9190,20.0,5.569230769230769,1.0,0.4,535.5355,0.0
9191,20.0,5.569230769230769,1.0,0.4,1086.0861,295.2953
9192,20.0,5.569230769230769,1.0,0.4,1996.997,620.6206
9193,20.0,5.569230769230769,1.0,0.4,575.5756,0.0
9194,20.0,5.569230769230769,1.0,0.4,2932.9329,1551.5516
9195,20.0,5.569230769230769,1.0,0.4,1121.1211,330.3303
9196,20.0,5.569230769230769,1.0,0.4,1031.031,0.0
9197,20.0,5.569230769230769,1.0,0.4,1456.4565,665.6657
9198,20.0,5.569230769230769,1.0,0.4,265.2653,0.0
9199,20.0,5.569230769230769,1.0,0.4,1686.6867,310.3103
27800,15.0,5.569230769230769,1.0,0.4,370.3704,225.2252
27801,15.0,5.569230769230769,1.0,0.4,170.1702,30.03
27802,15.0,5.569230769230769,1.0,0.4,340.3403,165.1652
27803,15.0,5.569230769230769,1.0,0.4,165.1652,0.0
27804,15.0,5.569230769230769,1.0,0.4,45.045,0.0
27805,15.0,5.569230769230769,1.0,0.4,65.0651,0.0
27806,15.0,5.569230769230769,1.0,0.4,280.2803,105.1051
27807,15.0,5.569230769230769,1.0,0.4,275.2753,135.1351
27808,15.0,5.569230769230769,1.0,0.4,135.1351,0.0
27809,15.0,5.569230769230769,1.0,0.4,110.1101,0.0
27810,15.0,5.569230769230769,1.0,0.4,305.3053,165.1652
27811,15.0,5.569230769230769,1.0,0.4,340.3403,200.2002
27812,15.0,5.569230769230769,1.0,0.4,75.0751,0.0
27813,15.0,5.569230769230769,1.0,0.4,355.3554,180.1802
27814,15.0,5.569230769230769,1.0,0.4,205.2052,65.0651
27815,15.0,5.569230769230769,1.0,0.4,245.2452,105.1051
27816,15.0,5.569230769230769,1.0,0.4,170.1702,25.025
27817,15.0,5.569230769230769,1.0,0.4,15.015,0.0
27818,15.0,5.569230769230769,1.0,0.4,335.3353,160.1602
27819,15.0,5.569230769230769,1.0,0.4,65.0651,0.0
27820,15.0,5.569230769230769,1.0,0.4,690.6907,515.5155
27821,15.0,5.569230769230769,1.0,0.4,80.0801,0.0
27822,15.0,5.569230769230769,1.0,0.4,405.4054,230.2302
27823,15.0,5.569230769230769,1.0,0.4,275.2753,130.1301
27824,15.0,5.569230769230769,1.0,0.4,170.1702,0.0
27825,15.0,5.569230769230769,1.0,0.4,345.3453,175.1752
27826,15.0,5.569230769230769,1.0,0.4,115.1151,0.0
27827,15.0,5.569230769230769,1.0,0.4,1331.3313,1156.1562
27828,15.0,5.569230769230769,1.0,0.4,55.0551,0.0
27829,15.0,5.569230769230769,1.0,0.4,180.1802,5.005
27830,15.0,5.569230769230769,1.0,0.4,185.1852,10.01
27831,15.0,5.569230769230769,1.0,0.4,135.1351,0.0
27832,15.0,5.569230769230769,1.0,0.4,265.2653,125.1251
27833,15.0,5.569230769230769,1.0,0.4,275.2753,135.1351
27834,15.0,5.569230769230769,1.0,0.4,810.8108,635.6356
27835,15.0,5.569230769230769,1.0,0.4,185.1852,10.01
27836,15.0,5.569230769230769,1.0,0.4,250.2503,110.1101
27837,15.0,5.569230769230769,1.0,0.4,15.015,0.0
27838,15.0,5.569230769230769,1.0,0.4,1011.011,835.8358
27839,15.0,5.569230769230769,1.0,0.4,110.1101,0.0
27840,15.0,5.569230769230769,1.0,0.4,300.3003,125.1251
27841,15.0,5.569230769230769,1.0,0.4,65.0651,0.0
27842,15.0,5.569230769230769,1.0,0.4,225.2252,85.0851
27843,15.0,5.569230769230769,1.0,0.4,175.1752,35.035
27844,15.0,5.569230769230769,1.0,0.4,30.03,0.0
27845,15.0,5.569230769230769,1.0,0.4,180.1802,5.005
27846,15.0,5.569230769230769,1.0,0.4,595.5956,455.4555
27847,15.0,5.569230769230769,1.0,0.4,490.4905,315.3153
27848,15.0,5.569230769230769,1.0,0.4,785.7858,645.6456
27849,15.0,5.569230769230769,1.0,0.4,180.1802,5.005
27850,15.0,5.569230769230769,1.0,0.4,1196.1962,1021.021
27851,15.0,5.569230769230769,1.0,0.4,130.1301,0.0
27852,15.0,5.569230769230769,1.0,0.4,395.3954,220.2202
27853,15.0,5.569230769230769,1.0,0.4,165.1652,25.025
27854,15.0,5.569230769230769,1.0,0.4,405.4054,230.2302
27855,15.0,5.569230769230769,1.0,0.4,200.2002,60.0601
27856,15.0,5.569230769230769,1.0,0.4,755.7558,580.5806
27857,15.0,5.569230769230769,1.0,0.4,170.1702,30.03
27858,15.0,5.569230769230769,1.0,0.4,390.3904,250.2503
27859,15.0,5.569230769230769,1.0,0.4,185.1852,10.01
27860,15.0,5.569230769230769,1.0,0.4,80.0801,0.0
27861,15.0,5.569230769230769,1.0,0.4,70.0701,0.0
27862,15.0,5.569230769230769,1.0,0.4,165.1652,25.025
27863,15.0,5.569230769230769,1.0,0.4,1261.2613,1086.0861
27864,15.0,5.569230769230769,1.0,0.4,730.7307,555.5556
27865,15.0,5.569230769230769,1.0,0.4,505.5055,335.3353
27866,15.0,5.569230769230769,1.0,0.4,120.1201,0.0
27867,15.0,5.569230769230769,1.0,0.4,15.015,0.0
27868,15.0,5.569230769230769,1.0,0.4,440.4404,300.3003
27869,15.0,5.569230769230769,1.0,0.4,110.1101,0.0
27870,15.0,5.569230769230769,1.0,0.4,120.1201,0.0
27871,15.0,5.569230769230769,1.0,0.4,300.3003,125.1251
27872,15.0,5.569230769230769,1.0,0.4,165.1652,20.02
27873,15.0,5.569230769230769,1.0,0.4,30.03,0.0
27874,15.0,5.569230769230769,1.0,0.4,90.0901,0.0
27875,15.0,5.569230769230769,1.0,0.4,150.1502,0.0
27876,15.0,5.569230769230769,1.0,0.4,145.1451,5.005
27877,15.0,5.569230769230769,1.0,0.4,390.3904,215.2152
27878,15.0,5.569230769230769,1.0,0.4,20.02,0.0
27879,15.0,5.569230769230769,1.0,0.4,1441.4414,1266.2663
27880,15.0,5.569230769230769,1.0,0.4,685.6857,540.5405
27881,15.0,5.569230769230769,1.0,0.4,165.1652,20.02
27882,15.0,5.569230769230769,1.0,0.4,80.0801,0.0
27883,15.0,5.569230769230769,1.0,0.4,50.0501,0.0
27884,15.0,5.569230769230769,1.0,0.4,195.1952,55.0551
27885,15.0,5.569230769230769,1.0,0.4,170.1702,25.025
27886,15.0,5.569230769230769,1.0,0.4,335.3353,160.1602
27887,15.0,5.569230769230769,1.0,0.4,1031.031,890.8909
27888,15.0,5.569230769230769,1.0,0.4,55.0551,0.0
27889,15.0,5.569230769230769,1.0,0.4,520.5205,345.3453
27890,15.0,5.569230769230769,1.0,0.4,95.0951,0.0
27891,15.0,5.569230769230769,1.0,0.4,810.8108,635.6356
27892,15.0,5.569230769230769,1.0,0.4,495.4955,355.3554
27893,15.0,5.569230769230769,1.0,0.4,185.1852,10.01
27894,15.0,5.569230769230769,1.0,0.4,150.1502,10.01
27895,15.0,5.569230769230769,1.0,0.4,385.3854,210.2102
27896,15.0,5.569230769230769,1.0,0.4,20.02,0.0
27897,15.0,5.569230769230769,1.0,0.4,35.035,0.0
27898,15.0,5.569230769230769,1.0,0.4,310.3103,170.1702
27899,15.0,5.569230769230769,1.0,0.4,485.4855,345.3453
